Date,Open,High,Low,Close,Adj Close,Volume
2020-05-29,44.720001,46.220001,44.299999,46.040001,46.040001,4119800
2020-06-01,46.169998,53.970001,45.750000,52.820000,52.820000,9686800
2020-06-02,52.740002,52.740002,47.660000,49.639999,49.639999,6538800
2020-06-03,48.900002,49.169998,40.500000,44.250000,44.250000,16950300
2020-06-04,44.000000,46.660000,42.880001,44.660000,44.660000,5713100
2020-06-05,49.459999,50.490002,45.259998,46.299999,46.299999,8077200
2020-06-08,44.580002,45.150002,42.139999,44.790001,44.790001,4812700
2020-06-09,44.049999,48.430000,44.020000,45.930000,45.930000,3875400
2020-06-10,46.169998,46.450001,44.389999,44.959999,44.959999,2308700
2020-06-11,43.279999,47.509998,43.110001,44.430000,44.430000,4089100
2020-06-12,45.549999,45.759998,43.599998,45.570000,45.570000,3297800
2020-06-15,45.939999,51.529999,45.000000,51.070000,51.070000,8694400
2020-06-16,51.180000,52.570000,48.209999,52.150002,52.150002,5026200
2020-06-17,52.029999,58.340000,51.810001,55.410000,55.410000,9350000
2020-06-18,55.250000,59.810001,55.020000,59.270000,59.270000,5654100
2020-06-19,63.279999,66.059998,61.750000,64.750000,64.750000,11569300
2020-06-22,67.599998,67.910004,59.290001,65.949997,65.949997,8431300
2020-06-23,62.939999,69.989998,62.939999,69.660004,69.660004,6138100
2020-06-24,70.050003,80.699997,70.000000,77.500000,77.500000,10960400
2020-06-25,81.309998,86.500000,80.040001,83.540001,83.540001,10743500
2020-06-26,79.730003,81.430000,70.309998,77.389999,77.389999,13522400
2020-06-29,81.480003,88.970001,78.699997,83.610001,83.610001,8693300
2020-06-30,85.000000,89.500000,80.669998,83.349998,83.349998,7782200
2020-07-01,79.470001,82.599998,76.580002,79.699997,79.699997,6612100
2020-07-02,77.470001,84.300003,75.400002,81.639999,81.639999,5210900
2020-07-06,80.150002,81.190002,76.099998,79.440002,79.440002,3832000
2020-07-07,104.000000,111.769997,95.500000,104.559998,104.559998,26477900
2020-07-08,103.849998,105.019997,95.500000,98.300003,98.300003,7898700
2020-07-09,98.320000,101.150002,93.480003,96.300003,96.300003,4348600
2020-07-10,94.000000,98.610001,93.510002,94.360001,94.360001,3072200
2020-07-13,95.330002,113.980003,95.260002,104.320000,104.320000,8636400
2020-07-14,107.209999,112.769997,99.150002,109.970001,109.970001,5390800
2020-07-15,110.309998,114.940002,105.800003,111.150002,111.150002,5250900
2020-07-16,109.400002,122.680000,109.099998,120.290001,120.290001,6940400
2020-07-17,128.889999,144.539993,127.800003,140.490005,140.490005,15200800
2020-07-20,149.490005,151.199997,124.099998,138.229996,138.229996,12934500
2020-07-21,140.509995,148.949997,134.550003,140.690002,140.690002,8868700
2020-07-22,136.000000,147.500000,133.190002,146.449997,146.449997,6143100
2020-07-23,144.690002,151.199997,134.039993,139.589996,139.589996,5923200
2020-07-24,133.199997,136.089996,126.550003,133.929993,133.929993,4819300
2020-07-27,134.020004,141.279999,131.830002,139.600006,139.600006,5035600
2020-07-28,139.429993,151.000000,136.500000,148.600006,148.600006,5907800
2020-07-29,152.500000,154.699997,143.529999,145.360001,145.360001,5638600
2020-07-30,140.500000,148.880005,139.570007,146.619995,146.619995,5410600
2020-07-31,147.610001,148.779999,142.000000,143.100006,143.100006,4232100
2020-08-03,145.279999,159.970001,144.690002,155.869995,155.869995,6762900
2020-08-04,156.500000,157.300003,150.279999,157.169998,157.169998,11517400
2020-08-05,182.000000,189.399994,165.110001,173.490005,173.490005,17875600
2020-08-06,178.000000,178.479996,160.259995,167.500000,167.500000,7882700
2020-08-07,168.630005,178.559998,166.259995,170.289993,170.289993,6529800
2020-08-10,175.460007,181.699997,172.860001,178.509995,178.509995,7607000
2020-08-11,169.770004,170.000000,143.250000,149.479996,149.479996,15226000
2020-08-12,148.059998,148.500000,112.510002,124.419998,124.419998,17941200
2020-08-13,126.160004,140.699997,125.769997,133.279999,133.279999,10776300
2020-08-14,144.000000,151.000000,137.619995,146.509995,146.509995,13699800
